amount,duration,payments,neg_balance,min_balance,mean_balance,gender,DB_mo,DB_dy,age,label
96396,12,8033,20.0,-12554.800000000003,34233.780049875306,0,7,22,53,1
165960,36,4610,1.0,-1573.9000000000015,35762.63942766296,1,7,22,32,0
127080,60,2118,0.0,0.0,26159.043594010018,1,6,2,64,0
105804,36,2939,0.0,0.0,29682.44086956524,0,4,20,60,0
274740,60,4579,1.0,-11383.699999999997,45677.0957894739,1,9,7,22,0
87840,24,3660,2.0,-2434.7000000000007,25715.900297619035,0,2,16,20,0
87840,24,3660,2.0,-2434.7000000000007,25715.900297619035,1,10,19,15,0
52788,12,4399,0.0,0.0,19338.98053830229,1,2,16,27,0
174744,24,7281,8.0,-15561.0,34427.81453744491,0,8,12,52,1
154416,48,3217,2.0,-11202.199999999997,46142.015498938345,0,5,25,31,0
117024,24,4876,3.0,-12225.099999999999,52869.45965770174,1,10,3,65,0
21924,36,609,1.0,-6811.699999999997,41430.68765432099,1,8,20,40,0
21924,36,609,1.0,-6811.699999999997,41430.68765432099,0,11,1,41,0
79608,24,3317,4.0,-42503.7,50588.55760869564,1,4,28,30,0
464520,60,7742,36.0,-19578.4,27180.33744292242,0,12,2,60,1
95400,36,2650,10.0,-13229.4,55318.950836820055,1,2,10,29,0
93888,36,2608,2.0,-662.2999999999993,27688.943280182266,0,10,20,50,0
47016,12,3918,16.0,-10929.400000000001,41065.72735042734,0,12,31,43,0
259740,60,4329,1.0,-16698.3,29758.95795454543,1,3,16,21,0
38148,12,3179,0.0,0.0,33857.12866556831,0,1,22,35,0
86616,12,7218,1.0,-3645.5999999999985,51524.23202146695,1,9,28,39,0
75624,24,3151,30.0,-14074.0,28731.823399558434,1,12,7,42,1
80952,24,3373,1.0,-14698.0,29921.3962264151,1,2,4,55,0
80952,24,3373,1.0,-14698.0,29921.3962264151,0,10,9,60,0
80952,24,3373,1.0,-14821.8,28937.61719077565,1,2,4,55,0
80952,24,3373,1.0,-14821.8,28937.61719077565,0,10,9,60,0
24516,12,2043,17.0,-14243.8,42837.14812030067,1,10,7,42,0
253200,60,4220,5.0,-10311.800000000003,37650.32525510205,0,3,13,50,0
21072,24,878,0.0,0.0,29796.744916820688,0,8,9,36,0
108144,36,3004,3.0,-14174.900000000001,47467.409856262886,0,5,12,37,0
108144,36,3004,3.0,-14174.900000000001,47467.409856262886,1,4,23,43,0
78936,12,6578,0.0,0.0,27585.679116465857,0,1,22,43,0
149040,48,3105,0.0,0.0,31016.154932735448,0,12,20,32,0
49320,12,4110,14.0,-14634.6,39784.008082706794,0,10,3,55,1
197748,36,5493,1.0,-5404.0999999999985,40171.93990610326,0,5,5,30,0
197748,36,5493,1.0,-5404.0999999999985,40171.93990610326,1,7,8,32,0
300660,60,5011,3.0,-19954.9,40890.059333333294,1,1,7,50,0
182628,36,5073,0.0,0.0,34164.12687651337,1,5,23,41,0
91632,12,7636,2.0,-10970.3,41962.123566878974,0,12,28,38,0
91632,12,7636,2.0,-10970.3,41962.123566878974,1,3,26,39,0
51696,24,2154,2.0,-19690.199999999997,45977.11686746991,0,1,28,32,0
55368,24,2307,16.0,-19470.7,33635.494589552225,0,12,25,61,0
91200,24,3800,4.0,-9654.099999999999,24946.898305084756,0,8,26,45,0
91200,24,3800,4.0,-9654.099999999999,24946.898305084756,1,4,5,42,0
7656,24,319,4.0,-4159.9000000000015,40722.48678160918,0,9,3,38,0
7656,24,319,4.0,-4159.9000000000015,40722.48678160918,1,6,7,41,0
212400,36,5900,1.0,-9752.400000000001,52641.43525345615,0,10,24,34,0
167100,60,2785,2.0,-9657.599999999999,44015.757437070904,0,1,17,30,0
167100,60,2785,2.0,-9657.599999999999,44015.757437070904,1,6,2,27,0
149340,60,2489,0.0,0.0,29509.012676056325,1,2,1,37,0
65184,12,5432,1.0,-4439.9000000000015,58860.36052060741,1,9,29,43,0
215388,36,5983,29.0,-23524.4,28437.654797979787,1,12,17,41,1
89040,60,1484,0.0,0.0,32822.160150375974,0,1,25,30,0
89040,60,1484,0.0,0.0,32822.160150375974,1,11,16,24,0
193968,36,5388,2.0,-2537.800000000003,43853.47266009857,1,12,3,28,0
24312,12,2026,2.0,-3556.7000000000007,31229.352442159397,0,11,19,45,0
272520,60,4542,3.0,-12051.400000000001,41716.99110169487,1,9,2,61,0
272520,60,4542,3.0,-12051.400000000001,41716.99110169487,0,8,19,59,0
80340,12,6695,1.0,-29387.6,43191.6116113744,0,2,6,24,0
80340,12,6695,1.0,-29387.6,43191.6116113744,1,1,5,22,0
97632,12,8136,3.0,-11401.099999999999,46202.35531135519,0,9,7,32,0
196080,48,4085,3.0,-13150.599999999999,51475.32714617175,1,5,27,42,0
76908,12,6409,19.0,-15492.800000000003,35389.84081196585,0,1,19,54,1
63312,48,1319,0.0,0.0,15556.732589285739,0,5,7,44,0
25944,24,1081,0.0,0.0,42601.98647887327,0,5,21,40,0
104808,12,8734,1.0,-331.5,32820.07894736841,1,11,30,61,0
104808,12,8734,1.0,-331.5,32820.07894736841,0,6,28,55,0
208320,48,4340,4.0,-10916.8,32018.476867469893,0,4,14,32,0
208320,48,4340,4.0,-10916.8,32018.476867469893,1,4,20,40,0
151560,24,6315,2.0,-856.5,44111.245714285746,1,5,5,47,0
52128,24,2172,11.0,-18015.3,39337.59751434037,0,7,17,41,0
300204,36,8339,0.0,0.0,28333.089294403882,1,3,13,36,0
77640,12,6470,0.0,0.0,48975.66567164176,1,7,10,33,0
87216,48,1817,61.0,-22671.1,13842.063179074448,1,5,13,36,1
87360,24,3640,4.0,-8083.0999999999985,42442.08050632913,1,7,10,38,0
69360,48,1445,0.0,0.0,29078.825870646775,1,7,28,59,0
288360,60,4806,1.0,-1152.699999999997,31986.344477611925,1,12,15,65,0
174744,24,7281,93.0,-33582.8,22109.301328273254,0,11,21,22,1
239460,60,3991,2.0,-393.3000000000002,27754.82719486082,0,9,13,58,0
91584,24,3816,4.0,-7883.0,36401.51593406596,0,11,16,49,0
244560,60,4076,9.0,-12344.599999999999,21561.45906593409,0,7,19,33,0
4980,12,415,1.0,-256.0,22523.046052631522,0,7,26,48,0
111384,24,4641,8.0,-32297.5,49300.21648177493,1,2,10,33,0
276660,36,7685,17.0,-11068.0,12900.541131105389,1,5,18,51,1
39576,12,3298,1.0,-40.20000000000073,55353.438184663464,0,5,2,20,0
173808,24,7242,1.0,-12290.5,48614.677678571476,0,1,27,43,0
173808,24,7242,1.0,-12290.5,48614.677678571476,1,3,5,50,0
50460,60,841,1.0,-1153.7000000000007,51542.276699029084,0,10,17,53,0
252060,60,4201,17.0,-8318.0,26999.141986455983,0,8,3,35,1
143904,24,5996,1.0,-5540.0999999999985,47474.76510791366,1,4,10,49,0
208128,48,4336,13.0,-19514.9,36467.75000000001,1,8,6,49,1
131292,36,3647,0.0,0.0,32704.097161572045,1,3,20,46,0
74736,36,2076,1.0,-281.7000000000007,32497.478832116758,1,10,29,35,0
299088,36,8308,44.0,-15388.199999999997,26205.580891719717,0,12,10,34,1
189300,60,3155,1.0,-8554.7,45505.40847750859,1,12,5,47,0
14628,12,1219,0.0,0.0,41113.48270440263,0,3,8,51,0
120888,36,3358,0.0,0.0,32996.44813953491,0,4,20,56,0
172080,48,3585,2.0,-9404.0,48511.72468827929,0,3,5,43,0
323472,48,6739,9.0,-15809.699999999997,38561.251785714296,0,10,15,60,0
74688,12,6224,6.0,-2790.2999999999993,36580.66247619054,0,1,26,55,0
74688,12,6224,6.0,-2790.2999999999993,36580.66247619054,1,1,15,50,0
45768,12,3814,6.0,-6135.1,25208.30433604336,0,5,27,23,0
224604,36,6239,2.0,-24498.3,53729.274704491705,1,5,24,24,0
224604,36,6239,2.0,-24498.3,53729.274704491705,0,8,13,21,0
79632,24,3318,3.0,-9226.5,43995.76498905913,0,8,10,41,0
121896,24,5079,3.0,-13674.099999999999,55051.564300202794,1,3,7,35,0
82896,12,6908,3.0,-1926.0999999999985,47000.22092257003,1,2,6,28,0
82896,12,6908,3.0,-1926.0999999999985,47000.22092257003,0,5,2,25,0
23628,12,1969,3.0,-3747.0,55526.364664311,1,3,9,46,0
209184,48,4358,2.0,-13016.199999999997,43867.572817955086,1,6,18,47,0
41904,12,3492,1.0,-6558.4000000000015,50738.989596273284,1,7,8,26,0
87816,12,7318,6.0,-7014.6,14391.822911051202,1,5,2,39,0
87816,12,7318,6.0,-7014.6,14391.822911051202,0,5,25,34,0
23052,12,1921,2.0,-9060.2,20772.526847662142,0,11,1,60,0
23052,12,1921,2.0,-9060.2,20772.526847662142,1,2,10,54,0
189696,24,7904,34.0,-35743.2,26145.375074183972,0,2,19,30,1
230220,36,6395,30.0,-15219.0,25491.450888888907,0,11,9,58,1
71460,12,5955,9.0,-5678.3,32012.219259259266,1,8,3,55,0
71460,12,5955,9.0,-5678.3,32012.219259259266,0,6,15,57,0
141240,24,5885,0.0,0.0,55262.02232854845,1,9,11,38,0
11736,24,489,3.0,-8540.900000000001,29142.575086505214,1,9,16,62,0
192744,36,5354,3.0,-27993.2,56235.42657342665,0,9,20,29,0
192744,36,5354,3.0,-27993.2,56235.42657342665,1,6,6,21,0
227880,36,6330,2.0,-2659.699999999997,52658.55829787229,0,11,4,45,0
227880,36,6330,2.0,-2659.699999999997,52658.55829787229,1,7,9,47,0
17508,12,1459,1.0,-7437.0999999999985,47153.32528409083,1,4,1,54,0
98184,24,4091,9.0,-18703.0,32093.986764705907,0,6,12,55,0
170256,24,7094,0.0,0.0,47235.63154034238,0,7,16,35,0
83016,12,6918,1.0,-7808.4000000000015,52102.577482269386,1,3,26,21,0
61056,48,1272,1.0,-17205.9,28338.332532751137,0,9,6,43,0
123696,48,2577,0.0,0.0,44975.099795918366,1,8,27,60,0
59760,24,2490,1.0,-10203.7,54826.56313253007,1,11,26,42,0
59760,24,2490,1.0,-10203.7,54826.56313253007,0,9,8,36,0
48672,36,1352,0.0,0.0,17491.98601769912,0,5,2,52,0
48672,36,1352,0.0,0.0,17491.98601769912,1,10,26,52,0
140400,36,3900,9.0,-18310.6,49734.3446224256,1,10,15,59,0
192552,24,8023,55.0,-28281.2,28268.523138297875,0,12,31,37,1
164052,36,4557,33.0,-32864.7,26850.495064935054,0,9,12,25,1
205200,36,5700,0.0,0.0,47577.962989323765,0,1,25,37,0
51408,24,2142,1.0,-4316.5,51230.68638613861,1,7,24,51,0
199680,60,3328,1.0,-3324.4000000000015,26134.86482412061,1,5,23,51,0
482940,60,8049,11.0,-3569.8,16076.802516778534,0,5,21,24,1
36684,12,3057,1.0,-7820.5,22307.562004661973,0,9,23,22,0
398640,60,6644,5.0,-37137.0,53384.22424999997,0,2,9,40,0
100980,60,1683,1.0,-823.2000000000007,36421.38643216083,1,7,31,35,0
31248,12,2604,1.0,-7089.199999999997,48940.26113744075,0,3,15,61,0
115992,36,3222,6.0,-13508.0,43876.97413479053,1,5,17,63,0
76380,12,6365,2.0,-447.5,14798.565714285682,0,6,28,43,0
288468,36,8013,1.0,-3412.3,27879.25378590077,0,10,26,42,0
177744,48,3703,26.0,-43771.5,41368.728537735864,1,3,13,28,1
270648,36,7518,20.0,-11963.2,37000.02660098519,1,11,4,63,1
48624,24,2026,0.0,0.0,59102.7215447154,1,9,30,39,0
76416,24,3184,1.0,-1910.6000000000004,33271.647537878795,1,9,2,63,0
76416,24,3184,1.0,-1910.6000000000004,33271.647537878795,0,11,19,66,0
137880,60,2298,23.0,-71242.4,27314.338154613484,1,3,12,37,1
347952,48,7249,1.0,-19600.4,52980.098762376256,0,10,30,36,0
68112,12,5676,0.0,0.0,43926.757093425644,0,11,30,23,0
95808,12,7984,6.0,-48706.0,51784.75288461534,1,9,7,60,0
20832,48,434,2.0,-6654.200000000001,18269.513220338995,1,5,4,52,0
316140,60,5269,134.0,-20020.8,5818.248786407785,1,2,22,32,1
43164,12,3597,1.0,-824.9000000000015,46879.32585751976,0,1,6,24,0
221280,48,4610,3.0,-7828.9000000000015,26857.78207792211,1,3,28,32,0
221280,48,4610,3.0,-7828.9000000000015,26857.78207792211,0,9,23,36,0
151728,48,3161,23.0,-28937.4,36349.501213592244,1,6,23,24,1
79920,60,1332,3.0,-14851.0,38896.58217391306,1,4,5,47,0
538500,60,8975,0.0,0.0,23977.39303621169,1,6,28,40,0
97224,24,4051,0.0,0.0,30318.525366876343,0,4,7,49,0
97224,24,4051,0.0,0.0,30318.525366876343,1,2,1,50,0
28248,24,1177,1.0,-5075.300000000003,52541.417948717906,0,2,10,30,0
168984,24,7041,7.0,-6817.7,52582.98130081302,1,3,18,24,1
76680,24,3195,0.0,0.0,44857.966975881245,1,1,7,51,0
76680,24,3195,0.0,0.0,44857.966975881245,0,3,19,46,0
331560,60,5526,0.0,0.0,50448.21688311683,1,11,23,20,0
331560,60,5526,0.0,0.0,50448.21688311683,0,6,25,18,0
103680,60,1728,52.0,-31495.5,16999.75943661972,1,6,24,29,1
99696,48,2077,20.0,-20481.5,43267.50257611245,0,6,25,29,1
134784,24,5616,1.0,-4760.800000000003,51493.64100719423,0,5,11,60,0
15420,12,1285,0.0,0.0,31517.372015655645,0,6,4,35,0
31728,24,1322,2.0,-12801.1,30186.071759259277,1,4,10,50,0
31728,24,1322,2.0,-12801.1,30186.071759259277,0,11,9,50,0
185952,48,3874,0.0,0.0,37703.60366197187,1,2,22,55,0
156672,36,4352,1.0,-16.399999999999636,16493.161917808207,0,4,25,44,0
18564,12,1547,0.0,0.0,48759.66081504698,0,2,4,37,0
158976,48,3312,1.0,-37274.8,42906.48470790396,1,1,9,61,0
47304,24,1971,3.0,-30489.1,54434.69725776976,1,8,3,29,0
104712,24,4363,0.0,0.0,35685.69715536104,1,12,12,56,0
126600,24,5275,0.0,0.0,34480.647761194006,1,2,27,61,0
68400,12,5700,12.0,-23241.5,24354.21037344398,0,6,9,24,1
225420,60,3757,1.0,-8666.599999999999,29599.52500000002,0,8,3,52,0
248148,36,6893,3.0,-10575.2,25231.44560327193,0,7,24,60,0
187224,24,7801,41.0,-52143.3,33457.13342175067,1,10,8,53,1
36396,12,3033,1.0,-2715.300000000003,44064.09293598231,1,4,3,28,0
189060,60,3151,1.0,-261.5,43280.62459016394,0,12,30,42,0
71064,36,1974,1.0,-1384.5999999999985,28033.3862745098,0,10,17,54,0
87216,48,1817,1.0,-229.5,23584.057058823568,0,3,16,46,0
158760,60,2646,10.0,-4798.4,18518.450661625695,1,1,31,22,0
417060,60,6951,0.0,0.0,35617.858612440206,0,9,14,39,0
417060,60,6951,0.0,0.0,35617.858612440206,1,11,10,42,0
63360,60,1056,0.0,0.0,26028.508542713582,1,8,14,45,0
63360,60,1056,0.0,0.0,26028.508542713582,0,7,12,38,0
29784,24,1241,0.0,0.0,35817.61402439026,0,12,25,31,0
29784,24,1241,0.0,0.0,35817.61402439026,1,6,27,27,0
139536,24,5814,3.0,-4903.0,44856.85365344474,0,9,13,59,0
265320,36,7370,0.0,0.0,33775.75189309574,0,8,28,52,0
265320,36,7370,0.0,0.0,33775.75189309574,1,12,4,50,0
198240,24,8260,0.0,0.0,22151.862251655635,1,2,18,44,0
60000,60,1000,1.0,-7734.5,34155.597582417555,1,10,15,54,0
465072,48,9689,5.0,-7436.6,35067.5912820513,1,5,8,52,0
465072,48,9689,5.0,-7436.6,35067.5912820513,0,5,11,59,0
98592,24,4108,0.0,0.0,35953.458153846186,0,12,24,37,0
285600,60,4760,1.0,-2596.699999999997,44454.94382716055,0,12,7,20,0
285600,60,4760,1.0,-2596.699999999997,44454.94382716055,1,6,7,19,0
44088,24,1837,0.0,0.0,37633.001003344514,0,6,25,49,0
20220,12,1685,2.0,-25003.699999999997,39648.23168044077,0,5,15,27,0
107640,24,4485,0.0,0.0,47128.0783475784,0,11,22,41,0
21396,12,1783,2.0,-4808.299999999999,25273.96033333334,1,9,9,32,0
21396,12,1783,2.0,-4808.299999999999,25273.96033333334,0,1,28,25,0
33984,48,708,0.0,0.0,47420.90280112041,1,8,4,28,0
45336,24,1889,0.0,0.0,44307.64522471906,1,4,29,43,0
85860,60,1431,0.0,0.0,38271.76539379473,0,10,20,45,0
188688,48,3931,1.0,-2671.9000000000015,41031.96877076412,0,7,23,35,0
309552,48,6449,0.0,0.0,39304.18810975615,1,1,29,65,0
36168,12,3014,1.0,-1736.2999999999993,24948.970712401042,1,8,19,39,0
314520,60,5242,7.0,-10335.099999999999,45237.48970251724,0,11,18,45,0
21852,36,607,0.0,0.0,52184.4303398057,1,12,5,46,0
266220,60,4437,1.0,-2592.9000000000015,31568.046022727296,0,2,17,35,0
231696,36,6436,1.0,-303.40000000000146,34364.45223880599,1,5,30,27,0
231696,36,6436,1.0,-303.40000000000146,34364.45223880599,0,1,3,26,0
260028,36,7223,2.0,-735.6000000000004,34637.427754237324,1,11,25,24,0
419880,60,6998,2.0,-29509.6,35777.6685430464,0,10,30,55,0
419880,60,6998,2.0,-29509.6,35777.6685430464,1,4,6,57,0
37908,12,3159,0.0,0.0,30183.504529616708,0,5,8,24,0
73836,36,2051,2.0,-2996.9000000000015,35017.76656626514,0,5,29,33,0
41952,12,3496,0.0,0.0,29005.984418604723,1,12,10,28,0
99336,24,4139,1.0,-1770.7000000000007,34911.001324503384,0,7,9,20,0
60156,36,1671,27.0,-50925.3,30109.083393501805,1,8,8,24,1
182040,60,3034,1.0,-5664.800000000003,54917.434426229476,0,3,24,49,0
182040,60,3034,1.0,-5664.800000000003,54917.434426229476,1,8,22,51,0
244368,48,5091,3.0,-24310.0,49921.62924791091,1,4,2,30,0
113796,36,3161,1.0,-1140.2000000000007,26054.672753623203,1,10,9,29,0
113796,36,3161,1.0,-1140.2000000000007,26054.672753623203,0,12,9,23,0
73056,48,1522,0.0,0.0,15875.202389078499,1,12,18,30,0
73056,48,1522,0.0,0.0,15875.202389078499,0,1,10,23,0
137904,24,5746,71.0,-23837.2,5144.716431924884,1,5,6,32,1
31176,24,1299,0.0,0.0,28695.070903009993,1,1,29,32,0
217152,36,6032,0.0,0.0,44676.75799373041,1,7,7,26,0
194880,48,4060,1.0,-2752.7999999999993,30702.747199999998,1,12,6,21,0
27984,12,2332,6.0,-31007.3,33012.42153846156,1,2,16,51,0
92976,24,3874,4.0,-10168.9,49717.03150357984,0,10,7,30,0
92976,24,3874,4.0,-10168.9,49717.03150357984,1,2,23,23,0
104712,24,4363,4.0,-12475.2,52341.87541766107,0,10,7,30,0
104712,24,4363,4.0,-12475.2,52341.87541766107,1,2,23,23,0
191880,60,3198,1.0,-5879.5999999999985,45544.02656641598,1,3,8,51,0
232560,48,4845,1.0,-27078.0,38936.345041322376,0,1,29,30,0
204000,60,3400,0.0,0.0,50451.93395638629,1,5,6,56,0
125340,60,2089,1.0,-12750.199999999997,55715.212393162496,1,6,15,56,0
309600,48,6450,1.0,-18737.9,53551.10612244895,1,6,26,25,0
189696,24,7904,1.0,-12453.099999999999,39635.42839805834,1,9,24,55,0
189696,24,7904,1.0,-12453.099999999999,39635.42839805834,0,11,13,56,0
135360,48,2820,8.0,-22118.5,44811.07457044673,1,9,24,25,0
98832,48,2059,8.0,-25553.0,23807.863852813807,0,9,10,30,0
20352,48,424,0.0,0.0,22386.973539518884,0,3,5,52,0
20352,48,424,0.0,0.0,22386.973539518884,1,5,27,48,0
165120,60,2752,0.0,0.0,18305.99968354432,0,3,18,50,0
165120,60,2752,0.0,0.0,18305.99968354432,1,11,5,47,0
89880,24,3745,1.0,-2661.5,56734.249999999905,1,5,16,37,0
128988,36,3583,12.0,-32240.4,33568.81993464052,1,8,15,61,1
63252,12,5271,2.0,-5398.700000000001,37010.91581291761,0,6,24,51,0
61656,24,2569,9.0,-22919.2,36447.64939393942,0,12,25,47,1
